dateRecord,batteryVoltage
28/11/2023 12:43,4.51
28/11/2023 12:42,4.51
28/11/2023 12:42,4.52
28/11/2023 12:41,4.52
28/11/2023 12:40,4.53
28/11/2023 12:38,4.53
28/11/2023 12:38,4.53
28/11/2023 12:38,4.53
28/11/2023 12:37,4.53
28/11/2023 12:37,4.53
28/11/2023 12:36,4.53
28/11/2023 12:36,4.53
28/11/2023 12:34,4.54
28/11/2023 12:33,4.54
28/11/2023 12:32,4.54
28/11/2023 12:32,4.55
28/11/2023 12:31,4.55
28/11/2023 12:31,4.55
28/11/2023 12:31,4.55
28/11/2023 12:30,4.55
28/11/2023 12:30,4.55
28/11/2023 12:30,4.55
28/11/2023 12:03,4.63
28/11/2023 12:02,4.63
28/11/2023 12:02,4.63
28/11/2023 12:01,4.63
28/11/2023 12:01,4.63
28/11/2023 12:00,4.63
28/11/2023 12:00,4.63
28/11/2023 11:59,4.63
28/11/2023 11:59,4.63
28/11/2023 11:59,4.63
28/11/2023 11:58,4.63
28/11/2023 11:58,4.64
28/11/2023 11:58,4.63
28/11/2023 11:57,4.63
28/11/2023 11:57,4.63
28/11/2023 11:57,4.64
28/11/2023 11:57,2
28/11/2023 11:57,4.64
28/11/2023 11:56,4.63
28/11/2023 11:56,4.64
28/11/2023 11:56,4.63
28/11/2023 11:55,4.64
28/11/2023 11:55,4.64
28/11/2023 11:54,4.64
28/11/2023 11:54,4.64
28/11/2023 11:54,4.64
28/11/2023 11:53,4.63
28/11/2023 11:53,4.64
28/11/2023 11:53,4.65
28/11/2023 11:52,4.64
28/11/2023 11:52,4.65
28/11/2023 11:52,4.65
28/11/2023 11:52,4.64
28/11/2023 11:51,4.65
28/11/2023 11:51,4.65
28/11/2023 11:51,4.65
28/11/2023 11:51,4.65
28/11/2023 11:50,4.65
28/11/2023 11:50,4.65
28/11/2023 11:50,4.65
28/11/2023 11:49,4.65
28/11/2023 11:49,4.65
28/11/2023 11:49,4.65
28/11/2023 11:49,4.65
28/11/2023 11:48,4.66
28/11/2023 11:48,4.65
28/11/2023 11:48,4.66
28/11/2023 11:48,4.65
28/11/2023 11:47,4.66
28/11/2023 11:47,4.66
28/11/2023 11:47,4.66
28/11/2023 11:46,4.66
28/11/2023 11:46,4.66
28/11/2023 11:46,4.66
28/11/2023 11:45,4.66
28/11/2023 11:45,4.66
28/11/2023 11:45,4.66
28/11/2023 11:44,4.66
28/11/2023 11:44,4.66
28/11/2023 11:44,4.66
28/11/2023 11:43,4.66
28/11/2023 11:43,4.66
28/11/2023 11:43,4.66
28/11/2023 11:42,4.66
28/11/2023 11:41,4.67
28/11/2023 11:41,4.66
28/11/2023 11:41,4.67
28/11/2023 11:41,4.67
28/11/2023 11:40,4.67
28/11/2023 11:40,4.67
28/11/2023 11:40,4.67
28/11/2023 11:35,4.68
28/11/2023 11:34,4.68
28/11/2023 11:34,4.68
28/11/2023 11:34,4.68
28/11/2023 11:33,4.68
28/11/2023 11:33,4.68
28/11/2023 11:33,4.68
28/11/2023 11:32,4.68
28/11/2023 11:32,4.68
28/11/2023 11:32,4.68
28/11/2023 11:32,4.68
28/11/2023 11:31,4.69
28/11/2023 11:31,4.68
28/11/2023 11:31,4.68
28/11/2023 11:31,4.68
28/11/2023 11:30,4.68
28/11/2023 11:30,4.68
28/11/2023 11:30,4.68
28/11/2023 11:29,4.68
28/11/2023 11:29,4.69
28/11/2023 11:29,4.69
28/11/2023 11:28,4.69
28/11/2023 11:28,4.69
28/11/2023 11:28,4.69
28/11/2023 11:28,4.69
28/11/2023 11:27,4.69
28/11/2023 11:27,4.69
28/11/2023 11:27,4.69
28/11/2023 11:26,4.69
28/11/2023 11:26,4.69
28/11/2023 11:25,4.69
28/11/2023 11:25,4.7
28/11/2023 11:25,4.7
28/11/2023 11:24,4.7
28/11/2023 11:24,4.7
28/11/2023 11:24,4.69
28/11/2023 11:23,4.7
28/11/2023 11:23,4.7
28/11/2023 11:22,4.7
28/11/2023 11:22,4.7
28/11/2023 11:22,4.7
28/11/2023 11:21,4.71
28/11/2023 11:20,4.71
28/11/2023 11:20,4.71
28/11/2023 11:19,4.7
28/11/2023 11:19,4.71
28/11/2023 11:18,4.71
28/11/2023 11:18,4.71
28/11/2023 11:18,4.71
28/11/2023 11:17,4.71
28/11/2023 11:16,4.71
28/11/2023 11:16,4.71
28/11/2023 11:16,4.71
28/11/2023 11:15,4.71
28/11/2023 11:15,4.71
28/11/2023 11:15,4.71
28/11/2023 11:15,4.71
28/11/2023 11:15,4.71
28/11/2023 11:14,4.71
28/11/2023 11:14,4.71
28/11/2023 11:14,4.71
28/11/2023 11:14,4.71
28/11/2023 11:14,4.71
28/11/2023 11:13,4.71
28/11/2023 11:12,4.71
28/11/2023 11:12,4.71
28/11/2023 11:12,4.71
28/11/2023 11:11,4.71
28/11/2023 11:11,4.71
